Title,Author,Genre, Time,Popularity
Include name this.,Patrick Anderson,R&B,262,71
Manage west energy.,Eric Miller,Jazz,187,37
Evening court painting.,Richard Curry,Electronic,212,58
Section turn hour.,James Smith,Hip-Hop,272,59
Five agreement teach.,Amy Rodriguez,Blues,131,34
Turn child.,Jessica Martin,R&B,207,58
Old.,Cheyenne Powell,Country,163,72
Clear fly over.,Aaron Coleman,Classical,183,73
Agency employee present.,Brandon Henderson,Country,243,69
Face become we.,Raymond White,Blues,177,55
Couple bank.,Paul Stephens,Reggae,245,76
Wife subject.,Julie Martin,Rock,191,97
Business research.,Michael Glass,Blues,145,92
Act majority.,Raymond Ramos,Jazz,282,99
Party yet.,Mr. Jeffery Harris,R&B,267,97
Traditional war with.,Jason Davis,Electronic,226,36
None possible.,Joseph Allen,Electronic,136,98
Give statement.,Charles Gentry,Classical,217,89
Dog call ready member.,Juan Gutierrez,Country,255,75
Make.,Brenda Wood,Country,243,48
Artist sort.,Thomas Webster,Classical,193,50
College grow.,Lisa Rodgers,Jazz,147,22
National maybe.,Kim Johnson,Classical,207,4
Particularly rock.,Robert Lee,R&B,271,100
Nor case subject.,Jamie Lopez,Jazz,150,98
Office speak position television.,Jason Rodriguez,Jazz,164,19
Shoulder candidate.,Jordan Ward,Jazz,237,6
Indicate view authority several.,Bethany Olson,Classical,248,25
Sure six.,Jamie Thompson,Reggae,212,13
Describe answer that.,Ryan Alexander,Electronic,261,61
Stop big.,Jeffrey Moore,Classical,158,22
For poor research real.,Ryan Bennett,Pop,226,39
Ground company discover.,Stephen Rose,Classical,152,24
Kind still life realize.,Andrea Guzman,Hip-Hop,260,9
Analysis official measure.,Kimberly Butler,Rock,148,66
Cut agree.,Diane Patton,Hip-Hop,209,39
Local actually energy strategy.,Seth Nicholson,Rock,230,46
Anyone author last.,Johnny Pruitt,Country,216,14
Change nice.,Mr. Mark Grant MD,Rock,124,41
Others.,Brad Franco,Pop,256,41
Blue industry.,Gary Lynch,Pop,245,24
Fly chance sign.,Michelle Cain,Jazz,288,10
Election paper.,Jon Powers,Blues,281,80
Bad bit difficult.,Penny Green,Reggae,285,70
Experience positive traditional.,Christine Green,Country,299,69
Determine year first.,Jonathan Carter,Reggae,143,89
Third ability without.,David Ramirez,Rock,286,84
Among those.,Leslie Nelson,Classical,206,10
Social say.,Jill Henry,Rock,281,28
Trade idea because.,David Melendez,Electronic,228,63
Very determine.,Michael Baker,R&B,237,90
Less job.,Christopher Romero,Electronic,202,47
Stuff kid.,Christopher Harvey,R&B,174,52
Wonder.,Lisa Burke,Country,237,23
Street loss.,Linda Mitchell,Reggae,220,100
Participant join tend.,Dalton Wyatt,Blues,239,92
Three by spring.,Valerie Young,Electronic,241,85
Small loss newspaper.,Andrew Rogers,Jazz,148,79
Thought establish.,Tanner Goodman,Blues,204,3
Player.,Mary Jones,Jazz,156,97
From.,Christina Simpson MD,Electronic,244,16
Environment.,Kevin Hamilton,Electronic,183,21
Eye to.,David Reed,Pop,236,33
Without safe around.,Glenn Martinez,Jazz,279,12
Probably attack.,Andrea Reeves,Blues,285,93
Whole heart.,Mario Ali,Reggae,280,18
Structure state.,Dominic Jimenez,Rock,158,52
Amount reveal understand rich.,Scott Lewis,Classical,128,82
Source answer visit for.,Curtis Erickson,Electronic,201,3
Scientist expert.,Theresa Johnson,Blues,176,68
Participant realize family.,Charles Mcintosh,Reggae,140,1
Control social plan.,Megan Kane,Electronic,289,88
Know school.,Erika Thompson,Classical,259,7
Item ground.,Lori Jenkins,Pop,177,76
Sister public how.,Regina Fry,Blues,182,91
Message recognize.,Linda Miller,Hip-Hop,172,12
Partner box find.,Matthew Barber,Pop,182,26
Practice group send.,Thomas Downs,Country,294,99
Address heavy.,Eric Williams,Classical,238,95
Nation away strong.,James Rogers,Reggae,269,3
Change a.,Shari Cortez,Classical,262,14
Identify action.,Ricardo Dixon,Blues,221,87
Just win drug.,Kevin Johnson,Hip-Hop,172,39
Dark situation.,Nicole Caldwell,Jazz,300,20
System less why.,John Donaldson,Country,126,64
Phone response room.,Krystal Smith,Rock,236,46
Cause our.,Nathan Murray,Hip-Hop,213,27
Against enjoy.,Kyle Chang,Classical,289,69
Opportunity kid stage.,John Nelson,Blues,140,98
Program talk.,Kimberly Miller,Blues,286,65
Process current simply.,Victoria Vega,Pop,300,37
Between magazine nearly.,Debra Love,Classical,249,82
Kid fire.,Jacob Everett,Pop,156,59
Reason east.,Dorothy Knapp,Jazz,198,87
Fine into doctor.,Jesse Gonzalez,Reggae,236,33
Drive happen.,Jennifer Martinez,Electronic,178,23
Knowledge partner wonder beautiful.,Jeff Cruz,Jazz,167,85
Pick edge then.,James Mcdonald,Hip-Hop,169,96
Yard explain night.,Debbie Fields DDS,Pop,154,67
Million respond develop.,Deanna Mcdonald,Electronic,237,72
Tree four.,Nicholas Larson,Hip-Hop,168,40
Political perhaps him.,Alicia Wright,Country,245,79
Choice daughter.,David Bautista,Pop,185,90
Few form public.,Brian Romero,Jazz,180,70
Leader police important.,Lucas Williams,Classical,146,26
Computer receive.,Jeffrey Espinoza,Blues,207,18
Year culture.,Paul Hernandez,Pop,189,75
Require society son.,Kristen Johnson,Reggae,163,9
Position protect picture.,Jessica Johnson,Jazz,147,6
Leader represent example.,Sheri George,R&B,289,84
War ahead.,Veronica Mcclain,R&B,143,15
Win movement ever.,Alexander Parker,Hip-Hop,241,28
Though sound.,James Thompson,Rock,181,30
Behavior summer different.,Phillip Sanchez,Hip-Hop,278,80
Event think eye.,Matthew Jones,Reggae,155,32
Enjoy employee.,Mary Nguyen,Electronic,134,58
Catch another mind.,Charles Anderson,Country,293,41
Sound rich best.,Laura Ray,Pop,216,35
Carry agreement.,Emily Hernandez,Jazz,280,13
Pull decide new.,Guy Suarez,Electronic,204,83
Item result.,Pamela Lopez,Reggae,189,9
Build structure.,Joseph Lawrence,R&B,209,97
Machine agency free.,Craig Fuller,Electronic,159,68
Design process.,Laura Adams,Pop,222,100
Write what.,Matthew Dawson,Blues,240,55
Short beyond.,John Beck,Country,159,99
Sign middle.,Joshua Wright,Jazz,129,29
Follow no husband.,Zachary Smith,Country,219,15
